x,y,rch_site,scenario,recharge,area,side,W_side,E_side,N_side,S_side
204975,439750,1,1,6.8097821519542,790432.685876935,889.062813234776,204530.468593383,205419.531406617,440194.531406617,439305.468593383
205997.857142857,439750,1,2,16.2780838525634,149108.13704296,386.145227916855,205804.784528899,206190.929756816,439943.072613958,439556.927386042
207020.714285714,439750,1,3,12.7968294652722,961164.014782728,980.38972596755,206530.519422731,207510.909148698,440240.194862984,439259.805137016
208043.571428571,439750,1,4,14.1098071850461,995373.828428798,997.684232825596,207544.729312159,208542.413544984,440248.842116413,439251.157883587
209066.428571429,439750,1,5,19.2639943390386,590720.538188034,768.583462083354,208682.136840387,209450.72030247,440134.291731042,439365.708268958
210089.285714286,439750,1,6,24.6766797880668,166468.0887867,408.005010737246,209885.283208917,210293.288219654,439954.002505369,439545.997494631
211112.142857143,439750,1,7,16.04441566429,663077.143806499,814.295489246071,210704.99511252,211519.290601766,440157.147744623,439342.852255377
212135,439750,1,8,19.5198524809869,38563.8175795029,196.376723619432,212036.81163819,212233.18836181,439848.18836181,439651.81163819
213157.857142857,439750,1,9,23.4888085295291,19391.2533824041,139.252480704669,213088.230902505,213227.483383209,439819.626240352,439680.373759648
214180.714285714,439750,1,10,6.17572368542379,443419.682549051,665.897651707115,213847.765459861,214513.663111568,440082.948825854,439417.051174146
215203.571428571,439750,1,11,12.9014741940385,628578.114709992,792.829183815777,214807.156836664,215599.986020479,440146.414591908,439353.585408092
216226.428571429,439750,1,12,6.8468681378096,201580.151518981,448.976782828446,216001.940180014,216450.916962843,439974.488391414,439525.511608586
217249.285714286,439750,3,1,18.3585518256942,862384.521455242,928.646607410614,216784.96241058,217713.609017991,440214.323303705,439285.676696295
218272.142857143,439750,3,2,6.63421395699131,61373.1157194416,247.735979864536,218148.274867211,218396.010847075,439873.867989932,439626.132010068
219295,439750,3,3,14.6208841663966,37121.3622742507,192.669048563205,219198.665475718,219391.334524282,439846.334524282,439653.665475718
220317.857142857,439750,3,4,5.29103027601054,648515.1825879,805.304403680931,219915.204941017,220720.509344698,440152.652201841,439347.34779816
221340.714285714,439750,3,5,20.0382483133451,720991.503122845,849.11218523988,220916.158193094,221765.270378334,440174.55609262,439325.44390738
222363.571428571,439750,3,6,23.0449439209187,898216.697388562,947.74294900493,221889.699954069,222837.442903074,440223.871474503,439276.128525498
223386.428571429,439750,3,7,12.666659757883,862650.519159186,928.789814306329,222922.033664275,223850.823478582,440214.394907153,439285.605092847
224409.285714286,439750,3,8,9.32984887340313,438638.426220772,662.29783800098,224078.136795285,224740.434633286,440081.148919001,439418.851081
225432.142857143,439750,3,9,7.05975396332926,78119.6045593824,279.498845363237,225292.393434461,225571.892279825,439889.749422682,439610.250577318
226455,439750,3,10,18.386656955887,328240.030713467,572.922360109524,226168.538819945,226741.461180055,440036.461180055,439463.538819945
227477.857142857,439750,3,11,20.0140121324156,187456.709254126,432.96271115897,227261.375787278,227694.338498437,439966.48135558,439533.518644421
228500.714285714,439750,3,12,8.86906110186182,719958.886514825,848.503910724532,228076.462330352,228924.966241077,440174.251955362,439325.748044638
229523.571428571,439750,5,1,18.8892982937654,593967.851020774,770.693097815709,229138.224879664,229908.917977479,440135.346548908,439364.653451092
230546.428571429,439750,5,2,16.1071862924016,820517.551080295,905.824238514456,230093.516452171,230999.340690686,440202.912119257,439297.087880743
231569.285714286,439750,5,3,9.50066757409109,865823.400098045,930.496319228639,231104.037554671,232034.5338739,440215.248159614,439284.751840386
232592.142857143,439750,5,4,15.8835615306873,101370.854753593,318.387899822832,232432.948907231,232751.336807054,439909.193949911,439590.806050089
233615,439750,5,5,12.2163994577649,369979.921127,608.259748073962,233310.870125963,233919.129874037,440054.129874037,439445.870125963
234637.857142857,439750,5,6,5.68881310698473,832879.311833123,912.622217477267,234181.546034119,235094.168251596,440206.311108739,439293.688891261
235660.714285714,439750,5,7,8.34430656164316,249431.423271191,499.431099623553,235410.998735903,235910.429835526,439999.715549812,439500.284450188
236683.571428571,439750,5,8,21.6223013574102,211475.113845197,459.86423414438,236453.639311499,236913.503545644,439979.932117072,439520.067882928
237706.428571429,439750,5,9,18.0008252601579,849821.843419573,921.857821694633,237245.499660581,238167.357482276,440210.928910847,439289.071089153
238729.285714286,439750,5,10,24.9187439975536,656326.843231014,810.140014584525,238324.215706993,239134.355721578,440155.070007292,439344.929992708
239752.142857143,439750,5,11,12.393726630007,786536.133740738,886.868724074052,239308.708495106,240195.57721918,440193.434362037,439306.565637963
240775,439750,5,12,21.5514170794825,539920.7181526,734.792976390357,240407.603511805,241142.396488195,440117.396488195,439382.603511805
204975,440792.105263158,1,13,5.34202841030977,733917.365483503,856.689772019897,204546.65511399,205403.34488601,441220.450149168,440363.760377148
205997.857142857,440792.105263158,1,14,7.84700866884992,701538.779025985,837.579118069442,205579.067583822,206416.646701892,441210.894822193,440373.315704123
207020.714285714,440792.105263158,1,15,13.4600006763164,563702.030496381,750.800926009272,206645.31382271,207396.114748719,441167.505726163,440416.704800153
208043.571428571,440792.105263158,1,16,5.46754159610848,788034.253290709,887.712934056223,207599.714961543,208487.4278956,441235.961730186,440348.24879613
209066.428571429,440792.105263158,1,17,19.0916229020804,816894.331289397,903.822068379278,208614.517537239,209518.339605618,441244.016297348,440340.194228968
210089.285714286,440792.105263158,1,18,6.25738461657764,147551.882324042,384.124826487487,209897.223301042,210281.34812753,440984.167676402,440600.042849914
211112.142857143,440792.105263158,1,19,6.40362556045875,664356.717269926,815.080804135348,210704.602455075,211519.683259211,441199.645665226,440384.56486109
212135,440792.105263158,1,20,13.4433660150777,451502.02208964,671.939001762541,211799.030499119,212470.969500881,441128.074764039,440456.135762277
213157.857142857,440792.105263158,1,21,5.25341940721005,963211.754141376,981.433519980531,212667.140382867,213648.573902847,441282.822023148,440301.388503168
214180.714285714,440792.105263158,1,22,8.23441950565514,666131.878027198,816.169025402948,213772.629773013,214588.798798416,441200.189775859,440384.020750456
215203.571428571,440792.105263158,1,23,22.2139576964029,113812.896383344,337.361669997266,215034.890593573,215372.25226357,440960.786098157,440623.424428159
216226.428571429,440792.105263158,1,24,16.4658652884213,488143.155744241,698.672423775435,215877.092359541,216575.764783316,441141.441475046,440442.76905127
217249.285714286,440792.105263158,3,13,22.072422755313,804395.91905204,896.881217916866,216800.845105327,217697.726323244,441240.545872116,440343.6646542
218272.142857143,440792.105263158,3,14,11.4114471989774,195406.377256702,442.047935473861,218051.118889406,218493.16682488,441013.129230895,440571.081295421
219295,440792.105263158,3,15,17.7001420499809,72443.724091776,269.153718331692,219160.423140834,219429.576859166,440926.682122324,440657.528403992
220317.857142857,440792.105263158,3,16,17.9081430999989,493848.157260538,702.743308228928,219966.485488743,220669.228796972,441143.476917272,440440.733609044
221340.714285714,440792.105263158,3,17,21.1398613015319,760396.771593107,872.007323130435,220904.710624149,221776.71794728,441228.108924723,440356.101601593
222363.571428571,440792.105263158,3,18,7.1778812378632,161102.102159173,401.375263511808,222162.883796816,222564.259060327,440992.792894914,440591.417631402
